Youtube Account,Instagram,Address,Name,Phone NO. ,Mail ,Google Maps,Vercel
https://www.youtube.com/@repair_thephonemechanic,https://www.instagram.com/repair_thephonemechanic,"Shop No. 5, Ground Floor, CSC, No. 4, Landmark:, near Chawla Medical Store, Pocket 4, Sector 2, Rohini, New Delhi, Delhi, 110085",The Phone Mechanic,9625345498,trc.therepaircompany@gmail.com,https://maps.app.goo.gl/XkY8XTRTByUvjmwR9,thephoneA7K2.ip360.in
https://www.youtube.com/@Mtrmobilerepair,https://www.instagram.com/mtr_mobile_repair?igsh=dnB6NG13M2dwdm16&utm_source=qr,"Ramnagar, Uttarakhand",MTR Mobile ,9639776396,"techrazamobile@gmail.com , wwwtehseenraza786@gmail.com",,mtrmobileM9Q4.ip360.in
https://www.youtube.com/@bunnypratap5259/videos,https://www.instagram.com/bunnypratap28?igsh=MTl5ejBxandwNG44eQ%3D%3D&utm_source=qr,"Shop no 112 , 1st floor Aggarwal city plaza near M2k cinema hall Rohini sector 3 Delhi Pincode -110085",Bunny Pratap,"9971683366 , 9971863366 , 9711843366 , 9711863366 , 9711853366 , 9711833366  ",,,bunnypratapT3X8.ip360.in
https://www.youtube.com/@hussainfix,https://www.instagram.com/hussainfix/,,Hussain fix,,"shezzhussain786@gmail.com , shahzebhussain29021996@gmail.com",,hussainfixR6P1.ip360.in
https://www.youtube.com/@mobileguru0001,https://www.instagram.com/mobileguru0001/profilecard/?igsh=cmR1YTZrcDkzMW1i,"I-40, main jaitpur road, near vishal mega mart, Hari Nagar Extn, jaitpur, New Delhi, pin 110044",Mobile Guru,9548481213,gurumanager0001@gmail.com,,mobileguruH5Z9.ip360.in
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,"Door No. 3-48, Hanuman Residency, C-4, near Pochamma Temple, Nizampet, Hyderabad, Telangana 500090",AppleFix,7799722424,,https://maps.app.goo.gl/iQWExjpunwjgZKuSA,applefixQ7J2.ip360.in
,,"shop no -5 , 1st floor, SMR Chambers, Ramakrishna Nagar, Hafeezpet, Madeenaguda, Hyderabad, Telangana 500049",iGadgets,9000743423,,https://maps.app.goo.gl/yquhX73Rg21uRFFK7,igadgetsB8N3.ip360.in
,https://www.instagram.com/i.storekphb?igsh=MTAybDk1Z2gzNGJxbw%3D%3D,"Shop 2, LIG 16/6, opp. Holy Mary College, Kukatpally Housing Board Colony, K P H B Phase 3, Kukatpally, Hyderabad, Telangana 500072",i.store,7689897979,,https://maps.app.goo.gl/WKYrzWZg6REjLsoi9,istoreY2L7.ip360.in
,,"Shop No: 13, opp. Shiva Parvati Theatre, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072",icare,9912674101,,https://maps.app.goo.gl/Sh8rYvGTSxarVMYT9,icareC4W6.ip360.in
,,"Pillar number 39, opposite bajaj electronics, Kondapur, Hanuman Nagar, Prashanth Nagar Colony, Gachibowli, Kothaguda, Hyderabad, Telangana 500084",Apcare,8008512909,,https://maps.app.goo.gl/AgoLJGwkZYQQoJhV6,apcareJ1F8.ip360.in
